date,name,category,value
1/1/19,Bus #1,Bus #1,637376
2/1/19,Bus #1,Bus #1,1274752
3/1/19,Bus #1,Bus #1,1912128
4/1/19,Bus #1,Bus #1,2549504
5/1/19,Bus #1,Bus #1,3186880
6/1/19,Bus #1,Bus #1,3824256
7/1/19,Bus #1,Bus #1,4461632
8/1/19,Bus #1,Bus #1,5099008
9/1/19,Bus #1,Bus #1,5736384
10/1/19,Bus #1,Bus #1,6373760
11/1/19,Bus #1,Bus #1,7011136
12/1/19,Bus #1,Bus #1,7648512
1/1/19,Bus #2,Bus #2,617458
2/1/19,Bus #2,Bus #2,1234916
3/1/19,Bus #2,Bus #2,1852374
4/1/19,Bus #2,Bus #2,2469832
5/1/19,Bus #2,Bus #2,3087290
6/1/19,Bus #2,Bus #2,3704748
7/1/19,Bus #2,Bus #2,4322206
8/1/19,Bus #2,Bus #2,4939664
9/1/19,Bus #2,Bus #2,5557122
10/1/19,Bus #2,Bus #2,6174580
11/1/19,Bus #2,Bus #2,6792038
12/1/19,Bus #2,Bus #2,7409496
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
