Route,0 min,1 min,2 min,3 min,4 min,5 min,6 min,7 min,8 min,10 min,11 min,12 min,15 min,25 min
Route #1,6,0,0,1,0,0,0,0,0,2,9,1,,1
Route #2,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Route #3,2,57,0,0,0,0,0,0,0,0,0,0,0,0
Route #4,2,0,11,10,0,1,0,0,0,0,0,0,0,0
Route #6,1,0,0,0,0,15,14,0,0,0,0,0,0,0
Route #10,3,1,1,5,4,12,0,1,28,25,0,3,2,1
Route #11,3,0,0,0,27,0,0,0,0,0,0,0,0,0
Route #12,1,14,0,15,0,0,0,0,0,0,0,0,0,0
Route #20,1,0,13,0,0,0,12,0,0,0,0,0,0,0
Route #50,3,0,0,0,0,0,0,0,0,0,2,0,0,0
Route #51,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Route #52,3,0,0,0,0,0,0,0,0,0,2,0,0,0
